qualifier;value;description
SETR;PLAC;Placement - Relates to the placement/new issue of a financial instrument
SETR;PORT;Portfolio Move - Relates to a portfolio move from one investment manager to another and/or from an account servicer to another
SETR;REAL;Realignment - Relates to a realignment of positions
SETR;REDI;Withdrawal - Relates to the withdrawal of specified amounts from specified sub-accounts
SETR;REDM;Redemption (Funds) - Relates to a redemption of Funds (Funds Industry ONLY)
SETR;RELE;DR Release/Cancellation - Relates to a release (into/from local) of Depository Receipt operation
SETR;REPU;Repo - Relates to a repurchase agreement transaction
SETR;RODE;Return of Delivery Without Matching - Relates to the return of financial instruments resulting from a rejected delivery without matching operation
SETR;RVPO;Reverse Repo - Relates to a reverse repurchase agreement transaction
SETR;SBBK;Sell Buy Back - Relates to a sell buy back transaction
SETR;SBRE;Borrowing Reallocation - Internal reallocation of a borrowed holding from one safekeeping account to another
SETR;SECB;Securities Borrowing - Relates to a securities borrowing operation
SETR;SECL;Securities Lending - Relates to a securities lending operation
SETR;SLRE;Lending Reallocation - Internal reallocation of a holding on loan from one safekeeping account to another
SETR;SUBS;Subscription (Funds) - Relates to a subscription to funds (Funds Industry ONLY)
SETR;SWIF;Switch From - Transaction is a change of an investment from one sub-fund to another sub-fund (redemption-leg)
SETR;SWIT;Switch To - Transaction is a change of an investment from one sub-fund to another sub-fund (subscription-leg)
SETR;SYND;Syndicate of Underwriters - Relates to the issue of financial instruments through a syndicate of underwriters and a Lead Manager
SETR;TBAC;TBA Closing - Relates to a To Be Announced (TBA) closing trade
SETR;TRAD;Trade - Relates to the settlement of a trade
SETR;TRPO;Triparty Repo - Relates to a triparty repurchase agreement
SETR;TRVO;Triparty Reverse Repo - Relates to a triparty reverse repurchase agreement
SETR;TURN;Turnaround - Relates to a turnaround: the same security is bought and sold to settle the same day, to or from different ...

# Settlement System/Method Indicator (SETS qualifier in 22F)
SETS;NSET;Default Settlement System/Method - Settle through the default settlement system/method
SETS;YSET;Alternate Settlement System/Method - Settle through the alternate settlement system/method

# Statement Frequency (SFRE qualifier in 22F)
SFRE;ADHO;Ad-Hoc - Statement is sent following a request by the Receiver
SFRE;DAIL;Daily - Statement is sent daily (once per day, end-of-day)
SFRE;INDA;Intra-Day - Statement is sent intra-day (multiple reports during the day)
SFRE;MNTH;Monthly - Statement is sent monthly (once per month)
SFRE;WEEK;Weekly - Statement is sent weekly (once per week)
SFRE;YEAR;Yearly - Statement is sent yearly (once per year)

# Statement Basis (STBA qualifier in 22F)
STBA;SETT;Settled - Statement is based on actual settlement date positions
STBA;TRAD;Traded - Statement is based on trade date positions

# Settlement Transaction Condition (STCO qualifier in 22F)
STCO;ASGN;Assignment - Transfer of ownership of the asset to another party during the closing of an option
STCO;BPSS;Partial Successful Buy-In - Identification of settlement instructions created as a result of a partial successful buy-in
STCO;BUTC;Buy to Cover - Settlement transaction is a buy to cover
STCO;CLEN;Tax-Exempt - Tax-exempt financial instruments are to be settled
STCO;DIRT;Non Tax-Exempt - Taxable financial instruments are to be settled
STCO;DLWM;Delivery Without Matching - Matching receipt instruction not required (only for concerned ICSD and CSD)
STCO;DRAW;Drawn - Settlement transactions relates to drawn securities
STCO;EXER;Exercised - Settlement transaction relates to options, futures or derivatives that are exercised
STCO;EXPI;Expired - Settlement transaction relates to options, futures or derivatives that have expired
STCO;FRCL;Free Clean Settlement - Delivery will be made free of payment but a clean payment order will be sent
STCO;INTS;Internalised Settlement - The instruction was settled by the settlement internaliser/account servicer (for example, custodian) in its...
STCO;KNOC;Knocked Out - Settlement transaction relates to options, futures or derivatives that are expired worthless
STCO;NACT;Not Accounting Related - Security transaction is not for accounting
STCO;NOMC;No Automatic Market Claim - No market claim should be automatically generated
STCO;NPAR;No Partial Settlement Allowed - Partial settlement is not allowed
STCO;PART;Partial Settlement - Partial settlement is allowed
STCO;PENS;Pending Sale - Accounting information that the position to cover the pending sale will be available by contractual settlem...
STCO;PHYS;Physical - Securities are to be physically settled
STCO;RESI;CSD Payment Only - Relates to transaction on a security that is not eligible at the Central Securities Depository (CSD) but fo...
STCO;RHYP;Re-hypothecation - Collateral position is available for other purposes (for example, onwards delivery)
STCO;RPTO;Reporting - Relates to a transaction that is for reporting purposes only
STCO;SHOR;Short Sale Indicator - Settlement transaction will create a short position
STCO;SPDL;Special Delivery - Settlement transactions to be settled with special delivery
STCO;SPST;Split Settlement - Money and financial instruments settle in different locations
STCO;TRAN;Transformation - Transaction resulting from a transformation
STCO;UNEX;Unexposed - Delivery cannot be performed until money is received

# Tax Capacity Party Indicator (TCPI qualifier in 22F)
TCPI;AGEN;Agent - Acting as an agent for tax liability
TCPI;PRIN;Principal - Acting as a principal for tax liability

# Transaction Activity Type (TRAN qualifier in 22F)
TRAN;BOLE;Borrowing/Lending Activity - Transaction relates to lending/borrowing
TRAN;CLAI;Market Claim - Transaction relates to a market claim following a corporate action
TRAN;COLL;Collateral Activity - Transaction relates to collateral
TRAN;CORP;Corporate Action Activity - Transaction relates to corporate action
TRAN;SETT;Settlement and Clearing Activity - Transaction relates to settlement and clearing

# Party Capacity Indicator (TRCA qualifier in 22F)
TRCA;CUST;Settling as a Custodian - Settlement party is a custodian
TRCA;RISP;Settling as Riskless Principal - Party settles trades that were simultaneously offset
TRCA;SAGE;Settling as an Agent - Party settles trades on behalf of his client for which he also traded
TRCA;SPRI;Settling as a Principal - Party settles its own trades

# Place of Settlement (PSET) - Central Securities Depositories and Clearing Systems
PSET;CEDE;Clearstream Banking Luxembourg - Luxembourg international CSD
PSET;EUCL;Euroclear Bank SA/NV - Belgium international CSD
PSET;DTCA;DTC - Depository Trust Company, New York / USA
PSET;XCLR;Clearstream Banking Frankfurt - German CSD (Deutsche Boerse Group)
PSET;NESD;Euroclear UK & International (formerly CREST) - UK/Ireland CSD
PSET;ESES;Euroclear ESES - joint platform for France, Belgium and Netherlands
PSET;MEDE;Monte Titoli S.p.A. - Italian CSD (Euronext)
PSET;CRCB;Oesterreichische Kontrollbank AG (OeKB) - Austrian CSD
PSET;SICV;SIX SIS Ltd. - Swiss CSD (formerly SIS SegaInterSettle)
PSET;NICA;NBB-SSS - National Bank of Belgium Securities Settlement System
PSET;VPDO;VP Securities A/S - Danish CSD
PSET;BOGS;Fedwire Securities Service - operated by the US Federal Reserve
PSET;PABO;Interbolsa - Portuguese CSD (Euronext Lisbon)
PSET;KAOL;KELER Ltd. - Hungarian CSD
PSET;CDSL;Central Depository Services Ltd. - Indian CSD, Mumbai
PSET;NSDL;National Securities Depository Ltd. - Indian CSD, Mumbai
PSET;HKEX;CCASS - Central Clearing and Settlement System, Hong Kong
PSET;JASD;JASDEC - Japan Securities Depository Center
PSET;KSEI;KSEI - Indonesian Central Securities Depository
PSET;SGSP;CDP - Central Depository Pte Ltd, Singapore

# Settlement/Processing Status (STAT qualifier in 13A/22F)
STAT;NMAT;Non-Matched - transaction not yet matched with the counterparty's instruction
STAT;MACH;Matched - instruction paired and matched with the counterparty
STAT;PEND;Pending - settlement is awaiting processing or confirmation
STAT;PAIR;Paired-Off - offsetting transaction has been paired against this instruction
STAT;REBO;Repurchase - transaction relates to a repo or reverse-repo
